DeviceID,BrandID,ModelID,DisplayID,CameraID,ConnectivityID,OSID,PhysicalSpecID,ReleasedYear,ReleasedAnnounced
12392,285,12493,1962,11269,210,152,7059,2017,2017-10-01
12393,285,12494,2336,10371,210,152,7060,2017,2017-07-01
12394,132,12495,2551,11270,307,330,7061,2017,2017-10-04
12395,90,12496,2552,11271,322,407,7062,2017,2017-10-04
12396,311,12497,2553,10704,364,408,7063,2017,2017-05-18
12397,312,12498,2212,11009,249,299,7064,2016,2016-11-20
12398,312,12499,2437,10165,249,299,7065,2016,2016-03-10
12399,5,12500,1504,10441,254,149,2580,2017,2017-07-01
12400,49,12501,2400,10295,258,292,6268,2017,2017-09-19
12401,41,12502,1784,10444,261,260,7066,2015,2015-07-01
12402,31,12503,1345,10835,441,356,6877,2017,2017-10-09
12403,312,12504,1511,10758,249,299,7067,2016,2016-03-10
12404,267,12505,2225,10782,251,152,7068,2017,2017-10-10
12405,31,12506,1345,10835,190,356,7069,2017,2017-10-11
12406,22,12507,2554,10028,282,155,7070,2016,2016-10-01
12407,313,12508,2555,11272,311,279,7071,2016,2016-07-01
12408,313,12509,2555,11272,311,279,7071,2016,2016-07-01
12409,313,12510,2555,11272,311,279,7071,2016,2016-07-01
12410,147,12511,1534,10037,193,156,7072,2017,2017-05-04
12411,41,12512,2452,10365,399,409,7073,2016,2016-07-01
12412,41,12513,2460,10365,442,410,7073,2017,2017-07-01
12413,41,12514,2556,10345,252,149,7074,2016,2016-07-01
12414,41,12515,2556,10345,252,240,7074,2016,2016-07-01
12415,41,12516,2556,10345,180,152,7075,2017,2017-07-01
12416,107,12517,2376,10962,342,162,7076,2017,2017-02-27
12417,11,12518,2195,10029,282,252,7077,2017,2017-10-08
12418,11,12519,2195,10029,282,252,7078,2017,2017-10-08
12419,31,12520,2328,10027,282,357,6584,2017,2017-10-11
12420,72,12521,2282,10111,212,191,7079,2017,2017-08-02
12421,72,12522,2282,10111,212,191,6619,2017,2017-08-02
12422,72,12523,2282,10111,212,191,7080,2017,2017-10-19
12423,72,12524,2282,10111,212,191,7080,2017,2017-08-02
12424,314,12525,2241,10799,443,411,7081,2017,2017-10-04
12425,267,12526,1908,11273,249,152,7082,2017,2017-08-19
12426,267,12527,2461,11112,249,152,7083,2017,2017-09-17
12427,267,12528,2557,10960,249,152,7084,2017,2017-08-19
12428,315,12529,2558,10040,444,412,7085,1998,1997-12-01
12429,72,12530,2480,11274,126,325,7086,2017,2017-08-24
12430,267,12531,2557,11275,251,152,7087,2017,2017-09-01
12431,108,12532,2200,11129,126,383,6944,2017,2017-07-01
12432,129,12533,1761,10715,193,191,5874,2017,2017-10-08
12433,173,12534,1534,11276,210,413,7088,2017,2017-03-01
12434,316,12535,2231,11277,253,253,7089,2017,2017-07-01
12435,173,12536,1534,11278,210,389,7090,2017,2017-07-01
12436,317,12537,2543,10886,430,162,7091,2017,2017-07-01
12437,173,12538,1834,11040,316,389,7092,2017,2017-08-01
12438,317,12539,2559,10886,445,292,7093,2017,2017-05-01
12439,173,10750,1886,11262,258,389,7094,2017,2017-10-04
12440,139,12540,1723,11093,318,356,7095,2017,2017-09-04
12441,139,12541,2117,11075,311,406,7096,2017,2017-09-03
12442,139,12542,2117,11075,311,406,7097,2017,2017-09-05
12443,139,12543,2117,10913,311,406,7058,2017,2017-09-01
12444,318,12544,2560,10528,249,162,7098,2017,2017-08-06
12445,318,12545,2560,10528,249,162,7099,2017,2017-08-02
12446,317,12546,2561,10886,364,162,7100,2017,2017-04-01
12447,216,12547,1908,10345,261,260,7101,2016,2016-07-01
12448,264,12548,2376,10028,314,252,7102,2017,2017-09-01
12449,164,12549,2562,11276,307,152,7103,2017,2017-08-10
12450,319,12550,2125,10209,180,388,7104,2017,2017-09-20
12451,277,12551,2142,11279,384,315,7105,2017,2017-11-26
12452,90,12552,2552,11271,322,407,7106,2017,2017-10-04
12453,248,12553,1663,11280,249,152,7107,2017,2017-04-02
12454,248,12554,2563,11215,311,253,7108,2016,2016-07-04
12455,248,12555,1511,11281,250,279,7109,2017,2016-12-29
12456,248,12556,2564,11253,276,279,7110,2016,2016-11-02
12457,176,12557,2565,11282,263,411,7111,2017,2017-10-04
12458,31,12558,1663,10029,282,252,7112,2017,2017-10-01
12459,31,12559,1663,10029,282,315,6917,2017,2017-10-02
12460,248,12560,1761,11283,446,279,7113,2016,2016-11-01
