DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
2292;;145.3 mm;1440x2560;Color ASV TFT LCD display;24 bit/pixel;LED;120 Hz
2293;;35.3 mm;400x400;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2294;;38.8 mm;320x320;Color IPS TFT LCD display;24 bit/pixel;LED;
2295;;148.6 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;LED;
2296;;144.78 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2297;;30.5 mm;360x360;Color IPS TFT LCD display;24 bit/pixel;LED;
2298;;165 mm;1242x2688;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2299;;157 mm;1080x2246;Color IPS TFT LCD display;30 bit/pixel;LED;
2300;;139.7 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;LED;
2301;;127 mm;480x854;Color TN-TFT LCD display;24 bit/pixel;LED;
2302;;152.14 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2303;;156 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;LED;
2304;;149.86 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;Yes;
2305;;157.48 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;LED;
2306;;132 mm;1080x1920;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2307;;156.7 mm;1080x2242;Color IPS TFT LCD display;30 bit/pixel;LED;
2308;;148.33 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2309;;152 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2310;;106.87 mm;768x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2311;;132.08 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2312;;176.5 mm;1024x600;Color IPS TFT LCD display;24 bit/pixel;Yes;
2313;;203.2 mm;1280x800;Color IPS TFT LCD display;24 bit/pixel;Yes;
2314;;144 mm;720x1498;Color IPS TFT LCD display;24 bit/pixel;LED;
2315;;132 mm;480x854;Color TN-TFT LCD display;24 bit/pixel;Yes;
2316;;30.5 mm;390x390;Color TN-TFT LCD display;24 bit/pixel;Yes;
2317;;144 mm;720x1440;Color TN-TFT LCD display;24 bit/pixel;LED;
2318;;160 mm;1080x2340;Color TN-TFT LCD display;24 bit/pixel;LED;
2319;;162.4 mm;1440x3120;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2320;;149 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
2321;;256.54 mm;1024x600;Color TN-TFT LCD display;24 bit/pixel;Yes;
2322;;144.78 mm;720x1440;Color TN-TFT LCD display;24 bit/pixel;Yes;
2323;;150.6 mm;720x1512;Color IPS TFT LCD display;24 bit/pixel;Yes;
2324;;138.45 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2325;;266.7 mm;1600x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2326;;144.78 mm;480x960;Color TN-TFT LCD display;24 bit/pixel;Yes;
2327;;142 mm;1080x2220;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2328;;150.6 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2329;;114 mm;480x854;Color TN-TFT LCD display;;Yes;
2330;;146.5 mm;1440x2960;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2331;;162.6 mm;1440x2960;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2332;;144 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
2333;;147 mm;1080x2244;Color IPS TFT LCD display;24 bit/pixel;LED;
2334;;138.94 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
2335;;132.08 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2336;;152.4 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
2337;;176.53 mm;1080x2220;Color AM-OLED display;24 bit/pixel;Yes;
2338;;165.1 mm;1080x2160;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2339;;31 mm;;Yes;24 bit/pixel;Yes;
2340;;30 mm;360x360;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2341;;134.6 mm;720x1280;Color TN-TFT LCD display;24 bit/pixel;LED;
2342;;152.15 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2343;;152.14 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2344;;152.4 mm;1080x2160;Color AM-OLED display;30 bit/pixel;Self-illuminating;90 Hz
2345;;139.7 mm;720x1512;Color IPS TFT LCD display;24 bit/pixel;Yes;
2346;;119.38 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2347;;266.7 mm;1200x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
2348;;147.32 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2349;;167.4 mm;1080x2316;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2350;;127 mm;720x1280;Color AM-OLED display;24 bit/pixel;Yes;
2351;;149.86 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;LED;
2352;;152.2 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2353;;177.8 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2354;;135.6 mm;480x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
2355;;38.1 mm;400x400;Color AM-OLED display;24 bit/pixel;Yes;
2356;;157.27 mm;720x1500;Color IPS TFT LCD display;24 bit/pixel;LED;
2357;;35.3 mm;400x400;Color AM-OLED display;24 bit/pixel;Yes;
2358;;148.34 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;LED;
2359;;33.02 mm;;Color AM-OLED display;24 bit/pixel;Yes;
2360;;30.23 mm;390x390;Color AM-OLED display;24 bit/pixel;Yes;
2361;;30.22 mm;390x390;Color AM-OLED display;24 bit/pixel;Yes;
2362;;35.3 mm;454x454;Color AM-OLED display;24 bit/pixel;Yes;
2363;;35.56 mm;290x320;Color AM-OLED display;24 bit/pixel;Yes;
2364;;159.5 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2365;;101.6 mm;480x854;Color TN-TFT LCD display;24 bit/pixel;Yes;
2366;;134.62 mm;480x960;Color TN-TFT LCD display;24 bit/pixel;Yes;
2367;;138 mm;480x854;Color TN-TFT LCD display;24 bit/pixel;Yes;
2368;;139.7 mm;1080x2040;Color IPS TFT LCD display;24 bit/pixel;Yes;
2369;;132 mm;480x854;Color TN-TFT LCD display;18 bit/pixel;Yes;
2370;;175.26 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2371;;144 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2372;;127 mm;720x1280;Color IPS TFT LCD display;18 bit/pixel;Yes;
2373;;152.146 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2374;;132.08 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2375;;152.1 mm;1440x2880;Color PVA TFT LCD display;30 bit/pixel;LED;
2376;;132 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2377;;127 mm;480x854;Color TN-TFT LCD display;18 bit/pixel;Yes;
2378;;152 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
2379;;157 mm;1080x2246;Color IPS TFT LCD display;24 bit/pixel;Yes;
2380;;38.1 mm;326x360;Yes;24 bit/pixel;Yes;
2381;;35.56 mm;190x320;Yes;24 bit/pixel;Yes;
2382;;152.46 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;Yes;
2383;;81.28 mm;240x320;Color TN-TFT LCD display;16 bit/pixel;Yes;
2384;;32 mm;144x168;monochrome E Ink display;2 bit/pixel;;
2385;;159.5 mm;1080x2280;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2386;;109.22 mm;480x800;Color TN-TFT LCD display;24 bit/pixel;LED;
2387;;148.5 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
2388;;151.9 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
2389;;144.78 mm;1080x1920;Color IPS TFT LCD display;24 bit/pixel;LED;
2390;;157.48 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2391;;152.146 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
2392;;132.08 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
2393;;89 mm;320x480;Color TN-TFT LCD display;24 bit/pixel;Yes;
2394;;152 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;Yes;
2395;;89 mm;320x480;Color IPS TFT LCD display;24 bit/pixel;Yes;
2396;;203.2 mm;1200x1920;Color IPS TFT LCD display;24 bit/pixel;Yes;
2397;;148.33 mm;1080x2220;Color IPS TFT LCD display;24 bit/pixel;LED;
2398;;134 mm;480x960;Color IPS TFT LCD display;24 bit/pixel;Yes;
2399;;132 mm;480x854;Color IPS TFT LCD display;24 bit/pixel;Yes;
2400;;132 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
2401;;145 mm;1440x2560;Color AM-OLED display;24 bit/pixel;Self-illuminating;
2402;;126.06 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;LED;
2403;;149.35 mm;1080x2244;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2404;;152.4 mm;1080x2160;Color ASV TFT LCD display;24 bit/pixel;LED;
2405;;114 mm;480x854;Color IPS TFT LCD display;24 bit/pixel;Yes;
2406;;147 mm;2160x3840;Color IPS TFT LCD display;24 bit/pixel;LED;
2407;;152.14 mm;720x1440;Color TN-TFT LCD display;24 bit/pixel;Yes;
2408;;147 mm;1080x2280;Color IPS TFT LCD display;24 bit/pixel;LED;
2409;;159.5 mm;1080x2280;Color AM-OLED display;30 bit/pixel;Self-illuminating;
2410;;148 mm;720x1512;Color IPS TFT LCD display;24 bit/pixel;Yes;
2411;;127 mm;720x1280;Color ASV TFT LCD display;24 bit/pixel;Yes;
2412;;143.51 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
2413;;134 mm;720x1280;Color IPS TFT LCD display;24 bit/pixel;LED;
